OCCTITLE,ANNMEDSAL,STEMFLAG,EDLEVELNUM
Social and Human Service Assistants,30192.2,NON-STEM,2
"Social Work Teachers, Postsecondary",80866,NON-STEM,9
"Social Workers, All Other",56206.4,NON-STEM,6
Solar Photovoltaic Installers,39431,NON-STEM,2
"Special Education Teachers, All Other",55983.44444,NON-STEM,6
"Special Education Teachers, Kindergarten and Elementary School",60564.2,NON-STEM,6
"Special Education Teachers, Middle School",61018.8,NON-STEM,6
"Special Education Teachers, Preschool",61456.6,NON-STEM,6
"Special Education Teachers, Secondary School",62146.4,NON-STEM,6
Stationary Engineers and Boiler Operators,65294,NON-STEM,2
Stock Clerks and Order Fillers,30460.6,NON-STEM,1
Substance Abuse and Behavioral Disorder Counselors,44515.2,NON-STEM,6
"Switchboard Operators, Including Answering Service",31246,NON-STEM,2
"Tailors, Dressmakers, and Custom Sewers",30288.4,NON-STEM,1
"Tank Car, Truck, and Ship Loaders",48246,NON-STEM,1
Tapers,48880.25,NON-STEM,1
"Tax Examiners and Collectors, and Revenue Agents",61781,NON-STEM,6
Taxi Drivers and Chauffeurs,26653.4,NON-STEM,1
Teacher Assistants,30950.4,NON-STEM,4
"Teachers and Instructors, All Other",48940.8,NON-STEM,6
Team Assemblers,31715.6,NON-STEM,2
Technical Writers,66448.7,NON-STEM,6
Telemarketers,27835.5,NON-STEM,1
Tellers,28846,NON-STEM,2
Textile Bleaching and Dyeing Machine Operators and Tenders,32873.73333,NON-STEM,2
"Textile Cutting Machine Setters, Operators, and Tenders",27498.42222,NON-STEM,2
"Textile, Apparel, and Furnishings Workers, All Other",29330.65556,NON-STEM,2
Tile and Marble Setters,48673.06667,NON-STEM,1
Tire Repairers and Changers,30378,NON-STEM,2
"Title Examiners, Abstractors, and Searchers",48303.6,NON-STEM,2
"Tool Grinders, Filers, and Sharpeners",56406.1,NON-STEM,2
Tour Guides and Escorts,29434.25,NON-STEM,2
Traffic Technicians,55561.2,NON-STEM,2
Training and Development Managers,98727.2,NON-STEM,6
Training and Development Specialists,63490.8,NON-STEM,6
Transit and Railroad Police,53084.33333,NON-STEM,2
"Transportation Attendants, Except Flight Attendants ",28693.4,NON-STEM,2
Transportation Inspectors,76059.4,NON-STEM,2
"Transportation Workers, All Other",35917.6,NON-STEM,2
"Transportation, Storage, and Distribution Managers",93619.8,NON-STEM,2
Travel Agents,41441.5,NON-STEM,2
